category,PC1_loading,PC2_loading,PC1_abs_loading,PC2_abs_loading
plastic,-0.29443619363225215,0.6926796902306306,0.29443619363225215,0.6926796902306306
expanded_polystyrene,0.8957650960142942,0.15212236691846975,0.8957650960142942,0.15212236691846975
rubber,0.09106009811508722,-0.0429203014332007,0.09106009811508722,0.0429203014332007
glass,0.09836901873536283,-0.012372664535243591,0.09836901873536283,0.012372664535243591
fragments,0.19424248077480963,-0.08705648094674397,0.19424248077480963,0.08705648094674397
fabric,0.1048153155760637,-0.16408662822541023,0.1048153155760637,0.16408662822541023
processed_wood,-0.16387582715838717,-0.5704673706765302,0.16387582715838717,0.5704673706765302
unidentified,0.053086216589370794,0.3575913607227024,0.053086216589370794,0.3575913607227024
personal_care,0.09779055816607286,-0.026767018758475158,0.09779055816607286,0.026767018758475158
aluminium,0.03555477020163068,0.028665646969817216,0.03555477020163068,0.028665646969817216
aerosol,0.04826813101024978,-0.02730979506946397,0.04826813101024978,0.02730979506946397
rings_caps,0.03737703932816576,-0.07047357589074348,0.03737703932816576,0.07047357589074348
